From,To,2013,2014,2015,2016,2017,2018
Brazil,France,3423.35,2947.65,2270.23,2331.92,2248.84,2640.69
Belgium,France,73398.84,73912.69,61337.70,61096.09,64217.95,67751.10
Germany,France,131833.10,133667.60,114041.06,111889.59,119291.37,124560.12
Portugal,France,7296.30,7528.69,6688.25,7000.39,7799.65,8676.11
Japan,France,6290.43,5944.96,5261.98,6247.87,6279.94,7072.81
US,France,33873.92,32449.90,31455.08,32438.86,34198.16,37361.04
Switzerland,France,20821.33,19000.04,17534.00,17735.18,17138.77,19493.91
Turkey,France,6654.65,6856.44,6101.38,6309.39,6895.25,7655.34
UK,France,31459.66,30201.16,27125.25,26307.30,30228.65,31924.42
Sweden,France,7618.10,7262.77,5802.26,6152.33,6407.26,7147.14
Russian Federation,France,9342.73,7642.94,5818.71,4853.05,5928.66,7785.04
Saudi Arabia,France,3705.37,3453.38,1907.48,1611.71,3296.86,5059.48
Singapore,France,4853.57,3931.20,3377.99,3273.71,3734.29,4858.01
Spain,France,51370.27,51367.89,43916.86,44437.21,48350.31,51398.91
Norway,France,11436.08,8826.79,6857.47,5834.36,6336.62,8113.81
Netherlands,France,57372.05,56619.19,47859.69,50327.40,57263.64,61502.24
India,Germany,7426.80,7745.64,7033.87,7174.13,8241.53,8972.85
Italy,Germany,64341.61,66720.54,56301.95,58346.12,63242.47,68778.98
Canada,Germany,3378.39,2843.96,2822.47,3066.35,3168.32,3711.45
China,Germany,67349.00,72730.92,69203.67,66044.12,71463.82,78154.62
Brazil,Germany,6551.65,6632.73,5178.90,4860.93,4911.53,5319.40
Belgium,Germany,79236.02,78832.05,66328.07,65985.63,72070.92,84018.52
France,Germany,94551.35,95520.22,80175.37,79996.18,78517.91,84512.92
Portugal,Germany,7310.60,7480.56,6529.78,6465.58,7070.19,7910.70
Japan,Germany,18931.04,19101.95,16234.94,17654.14,18946.34,20893.26
US,Germany,47361.99,49363.34,49946.65,49361.98,53492.76,57653.81
Switzerland,Germany,45348.71,47507.97,41233.95,43704.32,45398.44,47152.84
Turkey,Germany,14832.55,16275.37,14490.43,15164.95,16356.39,17353.44
UK,Germany,44443.95,49717.97,46529.93,43764.26,46509.12,47519.92
Sweden,Germany,16651.48,16534.54,14214.83,14652.87,16642.13,18081.64
Russian Federation,Germany,37027.25,37123.60,25353.01,21100.73,25368.80,34002.14
Saudi Arabia,Germany,1970.34,1836.34,1014.30,857.03,387.91,657.42
Singapore,Germany,5868.35,5385.56,5548.52,5782.87,6186.10,6413.78
Spain,Germany,32386.36,33822.00,30811.86,33300.00,35733.06,37093.81
Norway,Germany,26686.32,24478.35,18514.92,12426.16,15273.58,19366.19
Netherlands,Germany,169246.88,166319.75,141012.41,137856.40,156927.82,173839.31
Italy,India,3946.33,4022.39,3707.96,3617.01,4047.94,4667.91
Canada,India,2716.87,2900.54,3328.40,2932.98,2801.57,2819.39
China,India,48445.60,54237.23,58259.17,59435.21,68143.37,77023.16
Brazil,India,3129.17,4788.74,3617.45,2777.17,4657.43,3906.06
Belgium,India,10478.28,11431.09,8676.28,9010.69,8980.30,9376.64
France,India,3838.48,3870.83,3903.65,4782.06,6417.82,7027.00
Germany,India,12090.78,11761.19,10761.67,10789.55,12051.68,14734.99
Portugal,India,154.59,126.54,87.21,102.11,132.49,130.90
Japan,India,8613.41,8113.81,8104.03,8190.47,8852.75,11016.19
US,India,21811.35,21607.50,21529.61,21688.96,25700.46,33120.08
Switzerland,India,25727.86,20994.81,21282.13,14641.64,19975.17,17816.41
Turkey,India,615.90,618.84,698.41,691.62,808.67,1182.20
UK,India,7461.09,6132.12,5869.54,4377.13,5233.39,6582.98
Sweden,India,1528.41,1514.66,1297.42,1041.06,1340.64,1448.19
Russian Federation,India,6982.66,6341.11,5568.51,5311.31,6456.57,7755.18
Saudi Arabia,India,48718.55,45405.25,25079.69,21190.85,19580.94,26380.21
Singapore,India,11271.07,11129.64,10691.21,9760.66,11016.23,12343.35
Spain,India,1486.20,1498.78,1398.43,1391.55,1437.28,1570.11
Norway,India,264.89,275.92,234.14,256.48,298.09,290.96
Netherlands,India,2209.08,2519.59,2197.02,2046.74,2486.61,2730.61
India,Italy,5098.69,5365.80,4241.94,4488.89,5628.73,5533.99
Canada,Italy,1886.40,3785.28,1763.36,1749.90,1746.83,2349.85
China,Italy,25750.81,28759.02,27849.19,26565.23,29282.19,33325.40
Brazil,Italy,4098.14,4020.78,3270.23,3322.00,3561.29,3558.52
Belgium,Italy,20605.49,20464.33,19684.03,20619.28,21093.46,24021.00
France,Italy,40898.32,41888.98,35909.55,36217.47,40163.58,43331.95
Germany,Italy,70622.23,72093.02,64304.36,67802.94,73811.13,82460.66
Portugal,Italy,2076.47,2042.16,1757.49,1913.62,2215.88,2901.59
Japan,Italy,3269.63,3513.35,3594.28,4686.31,4892.71,4700.44
US,Italy,16758.19,16976.75,16256.40,16757.97,18323.12,23153.30
Switzerland,Italy,18186.28,17690.38,15513.93,14891.22,15759.24,16320.21
Turkey,Italy,7474.30,7486.50,7152.83,7857.67,8787.95,10047.45
UK,Italy,12817.23,14250.37,12842.22,13120.12,13172.18,14019.86
Sweden,Italy,3820.82,3971.17,3661.49,3731.84,4123.57,4651.86
Russian Federation,Italy,39322.85,35748.67,22292.58,11936.58,13831.47,16394.97
Saudi Arabia,Italy,6570.24,6123.40,3382.27,2857.82,3608.32,5084.18
Singapore,Italy,748.92,716.20,576.29,604.47,714.60,841.12
Spain,Italy,21846.87,23157.34,20654.84,22484.69,25011.70,27104.69
Norway,Italy,1258.82,1176.06,890.64,1170.77,1370.19,1691.44
Netherlands,Italy,29739.58,28216.06,24000.62,24157.70,27667.76,29865.08
India,Japan,6763.65,5732.29,4734.94,3827.25,4503.71,4742.60
Italy,Japan,7992.99,7129.65,6106.89,6662.00,7410.06,7626.58
Canada,Japan,10319.89,9728.33,7624.22,8101.67,9104.71,9965.84
China,Japan,149912.34,149451.72,135897.05,129617.47,137528.61,147564.61
Brazil,Japan,7964.03,6718.60,4844.96,4604.53,5266.46,4348.16
Belgium,Japan,4623.09,4082.23,3676.66,3939.88,3657.35,3784.58
France,Japan,9136.45,9076.46,7026.94,6944.02,7216.51,7869.51
Germany,Japan,22889.08,22687.99,19152.86,20488.06,22559.47,24565.80
Portugal,Japan,184.67,165.55,161.38,153.16,164.34,174.64
US,Japan,65216.09,66827.40,62471.83,63264.26,67695.89,74966.72
Switzerland,Japan,6928.51,6999.15,6852.67,7700.80,7535.22,7918.36
Turkey,Japan,417.35,380.66,341.11,359.20,416.37,493.79
UK,Japan,6870.82,6951.31,6458.80,6355.01,7326.65,8315.97
Sweden,Japan,2260.17,2048.54,1805.41,2085.80,2282.87,2549.15
Russian Federation,Japan,19667.51,19854.48,14498.93,9380.59,10623.96,12535.91
Saudi Arabia,Japan,66798.43,62255.53,34386.99,29054.97,26801.04,32848.81
Singapore,Japan,17673.88,16753.18,15280.78,14922.33,17150.39,20035.73
Spain,Japan,2991.41,3471.17,2736.15,2662.04,2757.95,2985.33
Norway,Japan,1232.02,1606.92,1228.34,1213.87,1167.06,1434.41
Netherlands,Japan,4492.59,4580.95,3956.60,3788.91,4122.23,5253.97
India,Netherlands,8590.68,6734.02,4923.93,4834.04,5431.74,8653.98
Italy,Netherlands,12049.45,12474.12,10600.39,10745.15,11864.57,13778.69
Canada,Netherlands,3458.83,3475.49,2786.07,2120.67,2395.11,3606.28
China,Netherlands,60317.91,64923.31,59653.97,58051.72,67587.72,73288.72
Brazil,Netherlands,17283.05,13035.58,10044.47,10323.02,9252.81,13048.10
Belgium,Netherlands,57708.34,56393.73,45516.72,44722.47,52037.45,57271.92
France,Netherlands,23597.07,23500.06,19550.17,17918.67,19367.61,21132.74
Germany,Netherlands,94267.80,96636.35,87825.68,86795.49,95658.03,107619.00
Portugal,Netherlands,2513.44,2538.80,2206.55,2076.30,2499.34,2606.67
Japan,Netherlands,13905.60,13071.71,11599.27,11808.64,12441.06,12727.90
US,Netherlands,42507.09,43075.17,40706.22,40377.07,42230.48,49390.54
Switzerland,Netherlands,5783.05,5731.41,5002.93,5125.21,5366.93,8158.76
Turkey,Netherlands,3783.68,3654.06,3352.62,3843.72,4190.31,5100.74
UK,Netherlands,37239.80,36783.10,26488.40,25512.37,27613.70,34586.49
Sweden,Netherlands,8932.80,8293.69,7208.68,7503.13,8339.89,9740.35
Russian Federation,Netherlands,70126.09,68013.41,40825.92,29257.72,35645.42,43598.52
Saudi Arabia,Netherlands,4716.08,4395.35,2427.78,2051.33,5372.52,10409.15
Singapore,Netherlands,6490.59,7298.07,6195.61,6843.17,7833.81,8913.13
Spain,Netherlands,9230.65,10270.90,8826.79,9138.81,10845.49,12059.61
Norway,Netherlands,16853.84,19382.00,10491.07,9031.40,9974.04,13537.29
India,Norway,225.19,244.00,541.23,234.40,344.14,301.86
Italy,Norway,2101.14,2154.93,1762.08,1699.64,1897.56,2030.98
Canada,Norway,1999.18,2027.60,1466.77,1149.91,1518.28,1757.00
China,Norway,2739.00,2734.08,2857.35,2618.25,2489.74,2656.65
Brazil,Norway,732.06,722.83,678.97,732.58,774.33,800.42
Belgium,Norway,2451.78,2308.35,1871.45,1837.76,1830.42,1902.53
France,Norway,2019.89,2168.18,1679.61,1665.22,1857.22,2269.91
Germany,Norway,10872.80,11206.77,8934.66,9540.35,9860.04,10717.97
Portugal,Norway,141.68,197.07,230.19,195.40,204.22,200.94
Japan,Norway,1165.69,1275.18,956.83,987.58,937.80,932.07
US,Norway,4618.34,4424.98,3598.49,3925.70,5298.54,5457.24
Switzerland,Norway,1027.38,1067.46,817.57,722.21,648.38,749.42
Turkey,Norway,625.04,562.09,456.16,569.52,564.86,522.26
UK,Norway,5121.59,5795.31,4765.06,4110.90,3754.25,4560.12
Sweden,Norway,17919.71,17244.75,14436.87,14458.66,15636.78,17429.07
Russian Federation,Norway,807.79,935.09,751.86,731.94,774.31,1131.93
Saudi Arabia,Norway,6.86,6.39,3.53,2.98,8.60,34.36
Singapore,Norway,1316.59,583.39,338.58,1512.25,363.61,489.52
Spain,Norway,1306.60,1438.84,1046.71,1293.58,1371.62,1458.26
Netherlands,Norway,5788.91,5811.64,4709.06,4723.99,5418.26,5675.61
India,Portugal,616.63,676.11,581.41,618.36,736.28,762.51
Italy,Portugal,4022.58,4303.31,3725.37,3910.59,4517.45,4977.99
Canada,Portugal,301.49,205.73,146.61,194.34,206.79,295.66
China,Portugal,2506.82,3137.25,2898.65,4039.85,3485.62,3783.65
Brazil,Portugal,854.41,1060.26,822.20,654.48,1432.68,1452.25
Belgium,Portugal,2176.30,2264.46,2098.13,2176.54,2366.54,2671.97
France,Portugal,5453.43,5573.79,4853.92,5185.63,5556.51,6414.04
Germany,Portugal,8446.21,9415.59,8345.72,8790.76,10123.87,11844.71
Japan,Portugal,337.51,367.23,382.50,366.12,427.81,583.89
US,Portugal,844.37,1135.63,939.75,948.18,1193.27,1463.64
Switzerland,Portugal,1155.17,916.32,822.36,823.17,863.77,1022.24
Turkey,Portugal,634.95,581.70,577.22,673.85,837.01,1147.02
UK,Portugal,2059.81,2184.29,1908.90,1941.62,2024.68,2119.85
Sweden,Portugal,705.29,800.46,724.31,754.49,777.52,797.39
Russian Federation,Portugal,650.35,202.38,294.89,656.19,963.45,905.23
Saudi Arabia,Portugal,912.57,850.51,469.78,396.93,647.62,725.36
Singapore,Portugal,48.96,124.45,143.89,212.11,467.12,415.09
Spain,Portugal,22975.95,23663.71,19951.10,20107.28,22861.44,25325.22
Norway,Portugal,507.85,510.46,564.59,570.15,608.70,673.82
Netherlands,Portugal,4218.00,4425.25,4010.32,3994.21,4769.21,5162.87
India,Russian Federation,2213.08,2215.66,1610.85,1814.45,2141.41,2332.13
Italy,Russian Federation,14301.53,12640.06,7859.68,7401.34,9011.96,8925.45
Canada,Russian Federation,1348.42,1133.89,451.83,457.56,515.42,436.76
China,Russian Federation,49607.59,53685.68,34810.19,37696.49,43321.24,48073.66
Brazil,Russian Federation,2974.15,3829.12,2464.43,2300.08,2736.85,1655.23
Belgium,Russian Federation,6782.45,5513.44,3416.22,3885.37,4568.15,4269.97
France,Russian Federation,10233.32,9077.76,5034.84,5472.17,6333.35,6340.70
Germany,Russian Federation,47497.39,38952.89,24025.24,23847.52,29173.60,30654.03
Portugal,Russian Federation,349.09,272.36,174.91,162.79,203.52,237.54
Japan,Russian Federation,10995.90,9262.25,5113.52,5121.76,6011.89,7301.47
US,Russian Federation,11144.53,10752.77,7086.66,5797.52,6987.12,6667.64
Switzerland,Russian Federation,3398.88,3176.00,2392.05,2069.62,2253.30,2551.84
Turkey,Russian Federation,7213.89,6170.45,3684.26,1792.92,2869.85,3652.60
UK,Russian Federation,6200.62,5559.15,3696.27,3420.55,3640.09,3314.12
Sweden,Russian Federation,3622.49,3222.93,1745.05,1709.51,2198.58,2302.38
Saudi Arabia,Russian Federation,15.36,14.32,7.91,6.68,26.60,32.39
Singapore,Russian Federation,471.99,566.53,440.91,796.21,659.96,571.29
Spain,Russian Federation,3732.38,3446.31,1852.49,1770.40,2164.28,2393.54
Norway,Russian Federation,1454.18,858.83,217.66,252.67,264.03,291.08
Netherlands,Russian Federation,10554.98,8782.32,5325.22,5183.31,6733.89,7160.28
India,Saudi Arabia,11793.24,12797.22,6944.15,5046.09,5220.63,5505.88
Italy,Saudi Arabia,5943.80,6394.33,5657.82,4624.40,4432.30,3651.93
Canada,Saudi Arabia,887.88,1130.04,934.08,936.66,1108.60,1448.87
China,Saudi Arabia,18734.20,20592.28,21679.41,19682.85,18394.39,17753.45
Brazil,Saudi Arabia,2838.78,2542.09,2750.37,2487.26,2657.16,2117.53
Belgium,Saudi Arabia,2426.51,2279.16,2216.09,1904.90,2021.41,1880.43
France,Saudi Arabia,4855.76,4635.93,4078.09,5124.84,6065.32,5000.37
Germany,Saudi Arabia,12181.09,11751.98,10954.64,8011.73,7336.91,7363.53
Portugal,Saudi Arabia,200.57,150.07,142.20,134.22,155.83,113.82
Japan,Saudi Arabia,6847.97,7582.36,6822.95,5010.86,3735.06,4117.38
US,Saudi Arabia,18960.16,18704.92,19690.18,18022.56,16260.51,13624.38
Switzerland,Saudi Arabia,5272.08,4999.16,4952.46,2826.01,1852.88,1975.73
Turkey,Saudi Arabia,3262.26,3137.94,3582.77,3264.12,2832.80,2766.39
UK,Saudi Arabia,4830.13,6219.63,6705.40,5833.78,4947.59,4435.77
Sweden,Saudi Arabia,1953.01,1637.49,1243.47,1083.30,1082.35,925.79
Russian Federation,Saudi Arabia,789.10,897.54,770.70,350.94,770.68,762.76
Singapore,Saudi Arabia,1238.74,1269.74,1027.42,814.93,816.58,753.38
Spain,Saudi Arabia,3151.33,3030.16,3423.54,2619.34,2550.62,2767.93
Norway,Saudi Arabia,132.97,136.45,140.65,123.06,134.97,103.22
Netherlands,Saudi Arabia,3368.90,3780.97,3380.23,2548.20,3091.62,3918.05
India,Singapore,13478.66,9644.91,7702.97,7571.90,11590.97,10428.27
Italy,Singapore,2523.68,2790.76,2167.70,2038.33,2382.73,2502.51
Canada,Singapore,946.78,1186.72,1172.83,1011.91,1040.21,984.81
China,Singapore,45610.69,48706.65,53147.74,47447.42,46233.19,50089.79
Brazil,Singapore,1904.36,3348.17,2045.35,2827.63,2734.71,3578.61
Belgium,Singapore,1621.84,1905.53,1451.43,1746.45,1526.55,1501.45
France,Singapore,7332.45,6810.13,6006.81,6833.78,7743.39,9793.49
Germany,Singapore,8306.56,8274.11,7253.54,7353.80,7759.48,9339.83
Portugal,Singapore,75.79,59.77,58.27,49.60,67.87,83.61
Japan,Singapore,20962.38,20998.58,19867.23,19804.89,22649.46,23421.60
US,Singapore,30666.87,30237.32,28656.70,26868.46,29753.08,33141.04
Switzerland,Singapore,12318.55,9073.12,7946.20,6516.82,7402.97,6799.84
Turkey,Singapore,371.58,391.52,447.23,427.22,704.89,579.30
UK,Singapore,6409.65,5972.26,5889.90,6112.80,6188.78,6841.22
Sweden,Singapore,951.58,855.64,755.12,615.52,756.03,926.31
Russian Federation,Singapore,1885.59,5552.07,2491.99,1796.47,3290.16,2787.78
Saudi Arabia,Singapore,21289.34,19841.47,10959.48,9260.11,9197.33,11527.98
Spain,Singapore,1047.10,1075.51,595.92,610.45,661.46,1156.99
Norway,Singapore,1695.32,1852.20,1359.49,1004.23,1210.18,629.40
Netherlands,Singapore,5126.35,4808.90,4689.47,5640.70,6345.94,6722.60
India,Spain,2854.01,3146.19,3165.45,3358.83,3774.06,4111.81
Italy,Spain,22830.91,24000.13,21911.71,23336.17,26301.02,28606.42
Canada,Spain,931.16,1018.35,879.98,1348.18,1256.57,1655.97
China,Spain,18933.86,21537.66,21895.84,21699.26,23119.81,25133.68
Brazil,Spain,3575.97,3280.75,2971.70,2629.72,3840.38,5087.37
Belgium,Spain,11274.95,11661.67,10234.92,10502.89,11882.84,13125.32
France,Spain,39158.95,41367.13,36842.57,37883.18,41292.04,45457.98
Germany,Spain,41637.45,46236.91,42961.09,44837.39,48585.66,52216.80
Portugal,Spain,14860.14,15004.57,13674.23,14323.91,15648.83,17338.24
Japan,Spain,2090.05,2301.35,2384.61,2862.47,2966.85,3412.22
US,Spain,10244.23,10200.27,10248.89,10373.15,11014.92,12975.52
Switzerland,Spain,5781.78,6402.90,5608.20,5700.24,5550.97,6677.58
Turkey,Spain,4554.38,4977.49,4948.41,5228.61,6584.92,8121.10
UK,Spain,13186.49,14512.98,13488.95,13020.23,13449.65,13983.97
Sweden,Spain,2760.61,3040.05,2752.31,2734.81,2959.72,3447.33
Russian Federation,Spain,6027.06,4577.11,2686.77,1954.05,2219.67,2386.73
Saudi Arabia,Spain,7649.18,7128.97,3937.70,3327.12,3723.81,4982.55
Singapore,Spain,375.19,350.43,423.69,375.29,317.14,360.00
Norway,Spain,1817.17,2369.50,1610.44,1641.81,2359.44,2181.84
Netherlands,Spain,17820.48,19177.61,17352.50,17991.10,20201.07,22226.68
India,Sweden,714.45,766.41,695.21,707.46,754.16,786.76
Italy,Sweden,5058.06,5211.48,4607.72,4656.05,5162.57,5770.13
Canada,Sweden,341.33,354.85,379.18,403.51,565.82,425.81
China,Sweden,6799.07,7170.56,7108.65,6345.66,7061.69,8293.23
Brazil,Sweden,449.12,493.21,503.48,514.50,466.44,606.10
Belgium,Sweden,6527.23,6672.71,6246.42,6737.08,7492.48,7561.06
France,Sweden,6239.97,6697.17,5852.83,5750.33,5772.58,6103.61
Germany,Sweden,27486.57,28503.48,25557.93,27547.29,30142.20,30955.85
Portugal,Sweden,584.43,619.29,455.34,523.30,558.93,688.87
Japan,Sweden,1261.39,1349.91,1336.24,1442.85,1373.94,1434.49
US,Sweden,4318.36,4339.99,3931.95,3817.26,3730.23,4483.02
Switzerland,Sweden,1588.41,1626.93,1536.42,1474.15,1507.93,1488.59
Turkey,Sweden,1267.66,1436.78,1273.58,1297.56,1462.99,1533.68
UK,Sweden,8679.17,8950.07,6741.02,6212.39,6770.03,7361.26
Russian Federation,Sweden,4475.63,4794.16,2432.49,2224.43,1933.80,3094.51
Saudi Arabia,Sweden,211.28,196.91,108.76,91.90,118.86,86.89
Singapore,Sweden,121.52,127.49,137.27,180.02,197.16,199.38
Spain,Sweden,2606.94,2768.04,2531.35,2426.17,2589.14,2769.90
Norway,Sweden,9016.64,8210.74,6267.18,5726.23,6892.50,8210.67
Netherlands,Sweden,13762.71,14388.77,12821.28,12644.37,14801.78,16627.21
India,Switzerland,1713.66,1129.26,944.58,1035.10,994.97,1236.98
Italy,Switzerland,27095.14,25341.18,21360.91,21039.04,23340.09,26411.93
Canada,Switzerland,1702.29,1351.91,936.39,976.00,1534.82,1437.38
China,Switzerland,3530.02,3107.86,3195.81,3253.16,3224.22,4119.49
Brazil,Switzerland,2362.26,2316.68,1944.98,1656.95,792.48,793.81
Belgium,Switzerland,6559.94,6381.19,5319.67,5919.92,6421.60,6155.93
France,Switzerland,17431.39,17299.52,15434.80,16993.63,17783.99,19027.28
Germany,Switzerland,62734.81,61994.19,54976.30,55993.46,61188.23,64312.14
Portugal,Switzerland,556.48,571.12,509.12,592.17,652.52,680.83
Japan,Switzerland,3322.00,3030.13,2698.79,3147.19,5090.68,3791.84
US,Switzerland,26581.22,22207.02,22323.41,22725.83,21711.20,22280.04
Turkey,Switzerland,1124.55,3250.45,5712.68,2740.01,924.67,1785.92
UK,Switzerland,68988.85,33567.46,32227.78,18882.26,19702.49,25397.92
Sweden,Switzerland,2042.06,1730.98,1626.81,1681.01,1660.48,1740.25
Russian Federation,Switzerland,8792.49,3675.00,2696.31,3168.27,3907.42,4934.43
Saudi Arabia,Switzerland,47.86,44.61,24.64,20.82,403.89,548.83
Singapore,Switzerland,1492.82,1789.17,1719.59,3007.97,2373.73,2411.27
Spain,Switzerland,5555.58,4759.66,4324.87,4426.53,4671.61,4962.50
Norway,Switzerland,530.66,537.58,416.68,506.94,377.15,365.37
Netherlands,Switzerland,7909.50,8249.06,7185.59,7156.70,8075.62,8727.35
India,Turkey,4102.52,5574.12,4407.55,4478.28,4923.76,5358.77
Italy,Turkey,13384.92,12910.35,11058.14,10624.27,11437.42,10399.10
Canada,Turkey,863.11,958.40,872.80,864.70,949.27,1018.77
China,Turkey,17753.91,19310.28,18628.74,16884.83,18174.64,17935.30
Brazil,Turkey,957.43,1308.39,1335.56,1446.15,1820.34,2362.52
Belgium,Turkey,6139.11,6447.95,5029.35,4977.03,5983.46,5842.47
